Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",48.000000,-30.000000,0.000000,top
"C2","100nF","C_0603_1608Metric",52.000000,-30.000000,0.000000,top
"C3","100nF","C_0603_1608Metric",56.000000,-30.000000,0.000000,top
"C4","10uF","C_0805_2012Metric",66.000000,-54.000000,0.000000,top
"J1","JST_PH_2pin_Battery","JST_PH_2pin_Battery",76.000000,-58.000000,0.000000,top
"LED1","RED","LED_0805_2012Metric",66.000000,-64.000000,0.000000,top
"LED2","GREEN","LED_0805_2012Metric",74.000000,-64.000000,0.000000,top
"R1","4.7k","R_0603_1608Metric",40.000000,-30.000000,0.000000,top
"R2","4.7k","R_0603_1608Metric",44.000000,-30.000000,0.000000,top
"R3","1.2k","R_0603_1608Metric",20.000000,-64.000000,90.000000,top
"R4","1k","R_0603_1608Metric",70.000000,-64.000000,90.000000,top
"U1","XIAO_ESP32C3","XIAO_ESP32C3",50.000000,-44.000000,180.000000,top
"U2","Adafruit_SCD41","Adafruit_SCD41",24.000000,-26.000000,0.000000,top
"U3","Adafruit_SGP41","Adafruit_SGP41",76.000000,-26.000000,0.000000,top
"U4","SSD1306_OLED_128x64","SSD1306_OLED_128x64",50.000000,-61.000000,0.000000,top
"U5","TP4056_USB-C_Module","TP4056_USB-C_Module",24.000000,-50.000000,0.000000,top
